NOM;ID;Bloomberg;DATE;VALEUR
CAC 40;FR0003500008;CAC;29/02/2016;4353.55
CAC 40;FR0003500008;CAC;31/03/2016;4385.06
CAC 40;FR0003500008;CAC;29/04/2016;4428.96
CAC 40;FR0003500008;CAC;31/05/2016;4505.62
CAC 40;FR0003500008;CAC;30/06/2016;4237.48
CAC 40;FR0003500008;CAC;29/07/2016;4439.81
CAC 40;FR0003500008;CAC;31/08/2016;4438.22
CAC 40;FR0003500008;CAC;30/09/2016;4448.26
CAC 40;FR0003500008;CAC;31/10/2016;4509.26
CAC 40;FR0003500008;CAC;30/11/2016;4578.34
CAC 40;FR0003500008;CAC;30/12/2016;4862.31
CAC 40;FR0003500008;CAC;31/01/2017;4748.9
CAC 40;FR0003500008;CAC;28/02/2017;4858.58
EURO STOXX 50;EU0009658145;SX5E;29/02/2016;2945.75
EURO STOXX 50;EU0009658145;SX5E;31/03/2016;3004.93
EURO STOXX 50;EU0009658145;SX5E;29/04/2016;3044.55
EURO STOXX 50;EU0009658145;SX5E;31/05/2016;3063.48
EURO STOXX 50;EU0009658145;SX5E;30/06/2016;2864.74
EURO STOXX 50;EU0009658145;SX5E;29/07/2016;2990.76
EURO STOXX 50;EU0009658145;SX5E;31/08/2016;3023.13
EURO STOXX 50;EU0009658145;SX5E;30/09/2016;3002.24
EURO STOXX 50;EU0009658145;SX5E;31/10/2016;3055.25
EURO STOXX 50;EU0009658145;SX5E;30/11/2016;3051.61
EURO STOXX 50;EU0009658145;SX5E;30/12/2016;3290.52
EURO STOXX 50;EU0009658145;SX5E;31/01/2017;3230.68
EURO STOXX 50;EU0009658145;SX5E;28/02/2017;3319.61
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;29/02/2016;1750.55
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;31/03/2016;1802.47
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;29/04/2016;1795.86
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;31/05/2016;1818.1
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;30/06/2016;1706.13
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;29/07/2016;1781.25
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;31/08/2016;1797.25
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;30/09/2016;1808.4
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;31/10/2016;1864.51
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;30/11/2016;1862.23
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;30/12/2016;1993.99
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;31/01/2017;1966.43
EURO STOXX SELECT DIVIDEND 30;CH0020751589;SD3E;28/02/2017;1990.74
CAC Large 60 EWER;FR0012663334;CLEWE;29/02/2016;1623.69
CAC Large 60 EWER;FR0012663334;CLEWE;31/03/2016;1671.45
CAC Large 60 EWER;FR0012663334;CLEWE;29/04/2016;1690.98
CAC Large 60 EWER;FR0012663334;CLEWE;31/05/2016;1702.32
CAC Large 60 EWER;FR0012663334;CLEWE;30/06/2016;1587.74
CAC Large 60 EWER;FR0012663334;CLEWE;29/07/2016;1679.81
CAC Large 60 EWER;FR0012663334;CLEWE;31/08/2016;1687.42
CAC Large 60 EWER;FR0012663334;CLEWE;30/09/2016;1699.44
CAC Large 60 EWER;FR0012663334;CLEWE;31/10/2016;1704.74
CAC Large 60 EWER;FR0012663334;CLEWE;30/11/2016;1710.66
CAC Large 60 EWER;FR0012663334;CLEWE;30/12/2016;1801.76
CAC Large 60 EWER;FR0012663334;CLEWE;31/01/2017;1780.53
CAC Large 60 EWER;FR0012663334;CLEWE;28/02/2017;1822.62
Euro iStoxx EWC 50;CH0261129644;ISXEC50;29/02/2016;926.48
